id,name
4,Pre-Owned
5,Services
7,Showroom Clearance
8,Office Chairs
9,Office Desks
11,Conference Tables 
12,"Filing,Storage & Bookcases"
13,Reception Furniture
14,Healthcare
15,Office Chairs
16,Office Desks
17,Workstations & Cubicles
18,Conference Tables
19," Filling, Storage & Bookcases"
20,Reception Furniture
21,Office Furniture Delivery and Installation
22,Office Design & Space Planning
23,Sell or Liquidate
24,Lease Options
25,Moving & Reconfigurations 
26,Best Selling Chairs
27,Best Selling Desk
33,Executive Chairs
34,Office Chairs
35,Guest Chairs
36,Conference Chairs
37,Reception Chairs
38,Stackable Chairs
39,Laminate Desks
40,Wood Desks
41,Glass Desks
42,Workstations & Cubicles
48,Laminate Reception Desks
49,Wood Reception Desks
50,Guest Reception Seating
51,Refurbished
52,Desks & Suites
53,Cubicles
54,Reception desk
55,Conference Tables
56,Seating
57,"Filing, Storage & Bookcase"
58,Cubicles
62,Internet Specials
63,Refurbished
